track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0XeSTQIu2LqnAKdOigQUtT,Clandestino (feat. Calypso Rose),Manu Chao,54,0dcSYLzXomtLihJSTfyk0T,Clandestino (feat. Calypso Rose),2019-05-31,Vibra Tropical,37i9dQZF1DX3fXJqxGjuEP,latin,tropical,0.662,0.672,4,-6.757,0,0.117,0.756,1.87e-06,0.239,0.906,84.791,158715
1AGeDbAlIcoJN01bLkFN82,Gangland,Mankirt Aulakh,46,5Cjo7LqqidLgnitIbm9G3L,Mankirt Aulakh - Best Hits,2018-07-10,Hip Te Hop,37i9dQZF1DWTqYqGLu7kTX,rap,hip hop,0.525,0.913,4,-3.617,0,0.4,0.152,0.0,0.118,0.606,86.452,168000
4BhXlLrlJSSA6b2LknHyBC,Dead 2 Me,Emily Vaughn,36,7akKzifW3Cj48Gje50KAgh,Dead 2 Me,2019-02-15,Indie Poptimism,1pZWCY50kMUhshcESknir8,pop,indie poptimism,0.457,0.612,4,-6.765,0,0.156,0.233,0.0,0.117,0.495,160.097,165000
06BrHnTVDOydsfg0LZ6mQb,Talk - Alle Farben Remix,Khalid,56,0N3tXBqOxFYcmrYRe8HDvr,Talk (Alle Farben Remix),2019-04-04,Tropical House 🏝 2020 Hits,2SRbIs0eBQwHeTP7kErjwo,latin,tropical,0.638,0.818,9,-4.517,0,0.05,0.131,1.78e-05,0.107,0.489,126.015,167990
32Gk4O5K1xGfm0iEJKDvt3,Rockstar on the Moon,Dr.ive,32,6MRPP7mECzQAb0MKIu1jO6,Rockstar on the Moon,2019-08-15,Trap Americana,7tkgK1tm9hYkWp7EFyOcAr,rap,trap,0.842,0.547,4,-8.49,0,0.179,0.31,0.00157,0.0945,0.435,89.989,167750
4e4fqjx0Izh4svvTef1z7e,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,71,4TOkZvtqNpg5UHyGxCn0mS,Expectations,2018-06-22,Hip pop,1Sc7bobknESH7SXQcnmoX5,r&b,hip pop,0.642,0.772,10,-6.61,1,0.0848,0.0476,0.0,0.0646,0.589,153.995,164205
7CTyBvcRHWso8oUcvyNkLt,God Only Knows (R3HAB Remix),for KING & COUNTRY,54,3DZ9KhFNGMOUE7E5ZOmvqW,God Only Knows (R3HAB Remix),2019-04-26,CHRISTIAN ELECTRO / DANCE / EDM,0MhTMIo1bgH6zzPh7BdChT,edm,progressive electro house,0.542,0.695,11,-7.566,0,0.0559,0.19,0.000184,0.515,0.435,144.007,155000
3Y6XWs8xMlCngyIxNOFnsp,Sound of da Police,KRS-One,62,64ub4SfdC8wvPjdUXw8QY9,Return of the Boom Bap,1993-09-03,90s Gangsta Rap / Top Hip-hop Classics,0C2zyPdlkbWHrwVg9gqNdU,rap,gangster rap,0.794,0.95,1,-8.78,1,0.294,0.124,7.71e-05,0.133,0.324,94.984,258507
0JhKJg5ejeQ8jq89UQtnw8,Levels - Radio Edit,Avicii,22,4mkvtXQd6rD7zuAHhexEvb,Levels,2011-01-01,Pop EDM,5EgzhnSirHRvu1AqlFLllv,edm,pop edm,0.62,0.881,1,-5.851,0,0.0372,0.0585,0.714,0.311,0.415,126.035,199904
6cOb0Ag4iI3YVwHvuxkErn,Is It Good To You,Teddy Riley,39,7rgb9wvpQawjb0GAR2D5rI,Juice (Original Motion Picture Soundtrack),1991-12-31,New Jack City,6RLvj5OnEuPzI1P02KwnzK,r&b,new jack swing,0.774,0.81,1,-7.775,1,0.0649,0.0677,0.000701,0.0269,0.526,107.709,257400
7iA8BlFVOityG3DGPExJtx,Falling Back,Roosevelt,54,3dRyi7KJOlQxfzA2hrMjJe,Falling Back,2019-03-01,Electro Posé - Discoveries,6nZaTh6K1SwhdELFTmA99C,edm,electro house,0.552,0.93,7,-3.467,1,0.0355,0.000579,0.81,0.107,0.625,114.981,279677
